,Suburb,Postcode,Local government area,Latitude,Longitude,1st Most Common Venue
288,Melbourne CBD,3000,City of Melbourne,-37.8141823,144.9598007,Sushi Restaurant
289,Melbourne CBD (St Kilda Road area),3004,"City of Melbourne (east side to High Street, Prahran); City of Port Phillip (west side and road south of High Street, Prahran)",0.0,0.0,Polish Restaurant
290,North Melbourne,3051,City of Melbourne; City of Moonee Valley,-37.7985747,144.9451741,Italian Restaurant
291,Parkville,3052,City of Melbourne,-37.7871148,144.9515533,Sushi Restaurant
292,Port Melbourne,3207,City of Melbourne; City of Port Phillip,-37.83336129999999,144.9219203,Thai Restaurant
293,Southbank,3006,City of Melbourne; City of Port Phillip,-37.825361799999996,144.96402030000002,Chinese Restaurant
294,South Wharf,3006,City of Melbourne; City of Port Phillip,-37.8253279,144.9493432,Chinese Restaurant
295,South Yarra,3141,City of Melbourne; City of Stonnington,-37.8377695,144.99185369999998,Kebab Restaurant
296,West Melbourne,3003,City of Melbourne,-37.81044755,144.920429793501,Korean Restaurant
297,Aintree,3336,City of Melton,-37.71939329999999,144.6694023,Polish Restaurant
298,Bonnie Brook,3335,City of Melton,-37.70020195,144.67660009811598,Fast Food Restaurant
299,Brookfield,3338,City of Melton,-37.699338899999994,144.5405513,Fast Food Restaurant
300,Burnside,3023,City of Melton,-37.749373999999996,144.753027,Middle Eastern Restaurant
301,Burnside Heights,3023,City of Melton,-37.7324225,144.7555804,Chinese Restaurant
302,Caroline Springs,3023,City of Melton,-37.7345608,144.7371975,Chinese Restaurant
303,Cobblebank,3338,City of Melton,-37.706300399999996,144.60256569999999,Portuguese Restaurant
304,Deanside,3336,City of Melton,-37.727933,144.70464750000002,Polish Restaurant
305,Exford,3338,City of Melton,-37.728888299999994,144.542927959977,Polish Restaurant
306,Eynesbury,3338,City of Melton; City of Wyndham,-37.7908381,144.55616569999998,Polish Restaurant
307,Fieldstone,3024,City of Melton,-37.74986679999999,144.6482563,Middle Eastern Restaurant
308,Fraser Rise,3336,City of Melton,-37.70598629999999,144.7174013,Portuguese Restaurant
309,Grangefields,3335,City of Melton,-37.7000297,144.63512680000002,Fast Food Restaurant
310,Harkness,3337,City of Melton,-37.65678079999999,144.5525264,Polish Restaurant
311,Kurunjang,3337,City of Melton,-37.6626777,144.59144030000002,Polish Restaurant
312,Melton,3337,City of Melton,-37.6835714,144.5828446,Polish Restaurant
313,Melton South,3338,City of Melton,-37.706027899999995,144.57177230000002,Portuguese Restaurant
314,Melton West,3337,City of Melton,-37.6798651,144.5528895,Polish Restaurant
315,Mount Cottrell,3024,City of Melton; City of Wyndham,-37.76249,144.62283,South American Restaurant
316,Parwan,3340,City of Melton; Shire of Moorabool,-37.735676899999994,144.46947921550301,Chinese Restaurant
317,Plumpton,3335,City of Melton,-37.6727808,144.6993618,Polish Restaurant
318,Ravenhall,3023,City of Melton,-37.7754956,144.73663259999998,Fast Food Restaurant
319,Rockbank,3335,City of Melton,-37.7312767,144.6607316,Chinese Restaurant
320,Strathtulloh,3338,City of Melton,-37.7324394,144.5975017,Chinese Restaurant
321,Taylors Hill,3037,City of Melton,-37.7152241,144.75331269999998,Polish Restaurant
322,Thornhill Park,3335,City of Melton,-37.7274099,144.6259215,Polish Restaurant
323,Toolern Vale,3337,City of Melton,-37.602626799999996,144.584952550434,Polish Restaurant
324,Truganina,3029,City of Melton; City of Wyndham,-37.808901500000005,144.721139,Korean Restaurant
325,Weir Views,3338,City of Melton,-37.7323715,144.57089419999997,Chinese Restaurant
326,Ashwood,3147,City of Monash,-37.866671999999994,145.1022346,Polish Restaurant
327,Burwood,3125,City of Monash; City of Whitehorse,-37.85565995,145.09844123094,Polish Restaurant
328,Chadstone,3148,City of Monash,-37.8822799,145.1001365,Polish Restaurant
329,Clayton,3168,City of Monash,-37.9173212,145.1304242,
330,Glen Waverley,3150,City of Monash,-37.8816255,145.1681838,Polish Restaurant
331,Hughesdale,3166,City of Monash,-37.8995028,145.0811583,
332,Huntingdale,3166,City of Monash,-37.907658500000004,145.1084736,
333,Monash University,3800,City of Monash,-37.9011951,145.130584919767,
334,Mount Waverley,3149,City of Monash,-37.878392299999994,145.1284919,Polish Restaurant
335,Mulgrave,3170,City of Monash,-37.9319869,145.18179881096,
336,Notting Hill,3168,City of Monash,-37.905582,145.14556159999998,
337,Oakleigh,3166,City of Monash,-37.9066691,145.111258439223,
338,Oakleigh East,3166,City of Monash,-37.9039215,145.1153403,
