,Suburb,Postcode,Local government area,Location[citation needed],Distance[3][citation needed],Area[citation needed],Population[citation needed],Population density[citation needed],Date established[citation needed],Address,Latitude,Longitude
245,Upper Ferntree Gully,3156,City of Knox; Shire of Yarra Ranges,,,,,,,"Upper Ferntree Gully, VIC 3156, Australia",-37.8966917,145.3098755
246,Wantirna,3152,City of Knox,,,,,,,"Wantirna, VIC 3152, Australia",-37.8523357,145.2259721
247,Wantirna South,3152,City of Knox,,,,,,,"Wantirna South, VIC 3152, Australia",-37.8737902,145.2217475
248,Bulleen,3105,City of Manningham,,,,,,,"Bulleen, VIC 3105, Australia",-37.7688992,145.0871992
249,Doncaster,3108,City of Manningham,,,,,,,"Doncaster, VIC 3108, Australia",-37.7848299,145.1238431
250,Doncaster East,3109,City of Manningham,,,,,,,"Doncaster East, VIC 3109, Australia",-37.7788744,145.1638815
251,Donvale,3111,City of Manningham,,,,,,,"Donvale, VIC 3111, Australia",-37.7898094,145.1914915
252,Nunawading,3131,City of Manningham; City of Whitehorse,,,,,,,"Nunawading, VIC 3131, Australia",-37.8173756,145.1765308
253,Park Orchards,3114,City of Manningham,,,,,,,"Park Orchards, VIC 3114, Australia",-37.7769195,145.2146209
254,Ringwood North,3134,City of Manningham; City of Maroondah,,,,,,,"Ringwood North, VIC 3134, Australia",-37.7930324,145.2312313
255,Templestowe,3106,City of Manningham,,,,,,,"Templestowe, VIC 3106, Australia",-37.7540588,145.1486152
256,Templestowe Lower,3107,City of Manningham,,,,,,,"Templestowe Lower, VIC 3107, Australia",-37.7638749,145.1122762
257,Warrandyte,3113,City of Manningham,,,,,,,"Warrandyte, VIC 3113, Australia",-37.7585968,145.22762818933
258,Warrandyte South,3134,City of Manningham,,,,,,,"Warrandyte South, VIC 3134, Australia",-37.7610033,145.2373853
259,Wonga Park,3115,City of Manningham,,,,,,,"Wonga Park, VIC 3115, Australia",-37.7356804,145.269802
260,Braybrook,3019,City of Maribyrnong,,,,,,,"Braybrook, VIC 3019, Australia",-37.7867076,144.8548451
261,Footscray,3011,City of Maribyrnong,,,,,,,"Footscray, VIC 3011, Australia",-37.7981339,144.897345
262,Kingsville,3012,City of Maribyrnong,,,,,,,"Kingsville, VIC 3012, Australia",-37.8088622,144.8794356
263,Maidstone,3012,City of Maribyrnong,,,,,,,"Maidstone, VIC 3012, Australia",-37.7819337,144.8741606
264,Maribyrnong,3032,City of Maribyrnong,,,,,,,"Maribyrnong, VIC 3032, Australia",-37.7695144,144.8902049
265,Seddon,3011,City of Maribyrnong,,,,,,,"Seddon, VIC 3011, Australia",-37.8067725,144.8915967
266,Tottenham,3012,City of Maribyrnong,,,,,,,"Tottenham, VIC 3012, Australia",-37.8046977,144.8529354
267,West Footscray,3012,City of Maribyrnong,,,,,,,"West Footscray, VIC 3012, Australia",-37.8005584,144.8710808
268,Yarraville,3013,City of Maribyrnong,,,,,,,"Yarraville, VIC 3013, Australia",-37.8180051,144.8819389
269,Bayswater North,3153,City of Maroondah,,,,,,,"Bayswater North, VIC 3153, Australia",-37.8269747,145.2836847
270,Croydon,3136,City of Maroondah,,,,,,,"Croydon, VIC 3136, Australia",-37.795177,145.284447
271,Croydon Hills,3136,City of Maroondah,,,,,,,"Croydon Hills, VIC 3136, Australia",-37.7759541,145.2671081
272,Croydon North,3136,City of Maroondah,,,,,,,"Croydon North, VIC 3136, Australia",-37.7718843,145.2839524
273,Croydon South,3136,City of Maroondah,,,,,,,"Croydon South, VIC 3136, Australia",-37.8150135,145.2736124
274,Heathmont,3135,City of Maroondah,,,,,,,"Heathmont, VIC 3135, Australia",-37.8305406,145.2442572
275,Kilsyth,3137,City of Maroondah,,,,,,,"Kilsyth, VIC 3137, Australia",-37.8037844,145.3134593
276,Kilsyth South,3137,City of Maroondah,,,,,,,"Kilsyth South, VIC 3137, Australia",-37.8315054,145.3110008
277,Park Orchards,3114,City of Maroondah,,,,,,,"Park Orchards, VIC 3114, Australia",-37.7769195,145.2146209
278,Ringwood,3134,City of Maroondah,,,,,,,"Ringwood, VIC 3134, Australia",-37.8114765,145.2334151
279,Ringwood East,3135,City of Maroondah,,,,,,,"Ringwood East, VIC 3135, Australia",-37.8130808,145.2530126
280,Vermont,3133,City of Maroondah; City of Whitehorse,,,,,,,"Vermont, VIC 3133, Australia",-37.8384616,145.1993471
281,Warranwood,3134,City of Maroondah,,,,,,,"Warranwood, VIC 3134, Australia",-37.7725114,145.250157
282,Carlton,3053,City of Melbourne,,,,,,,"Carlton, VIC 3053, Australia",-37.8004228,144.9684343
283,Carlton North,3054,City of Melbourne; City of Yarra,,,,,,,"Carlton North, VIC 3054, Australia",-37.7845585,144.9728553
284,Docklands,3008,City of Melbourne,,,,,,,"Docklands, VIC 3008, Australia",-37.8175423,144.9394923
285,East Melbourne,3002,City of Melbourne,,,,,,,"East Melbourne, VIC 3002, Australia",-37.812498,144.9858851
286,Flemington,3031,City of Melbourne; City of Moonee Valley,,,,,,,"Flemington, VIC 3031, Australia",-37.7867587,144.9193668
287,Kensington,3031,City of Melbourne,,,,,,,"Kensington, VIC 3031, Australia",-37.7943554,144.9270487
